# x_n y_n
0 3,041592653589793
8,44924203098405 0,14004111189849056
8,462902484205927 0,11418176827461417
8,476532208896085 0,08836269392681931
8,49013951200345 0,06259208466513594
8,50373269254609 0,03687789842579896
8,517320051800295 0,01122794432686463
8,530909905277046 -0,014350032366793507
8,544510596104478 -0,039848268173510816
8,558130509480605 -0,06525890105802783
8,571778087890486 -0,0905738906906746
8,585461846796505 -0,11578493817873475
8,599190390508516 -0,14088340414701492
8,61297242792148 -0,1658602240325238
8,62681678777011 -0,19070581943344395
8,640732432990387 -0,2154100043164842
8,654728473693432 -0,2399618848415278
8,668814178143656 -0,2643497515120188
8,68299898098506 -0,2885609623095885
8,697292487770516 -0,31258181543078456
8,711704474611272 -0,3363974102253315
8,726244881469453 -0,3599914949578201
8,740923797256524 -0,3833463001047852
8,755751434467697 -0,4064423560943192
8,770738090571397 -0,4292582947476347
8,785894092785247 -0,45177063426188824
8,801229722217865 -0,47395354847484805
8,816755112670231 -0,4957786224955996
8,832480118732438 -0,5172145987216437
8,84841414728745 -0,5382271199677368
8,864565946313483 -0,5587784800947251
8,880943345217002 -0,5788273973180287
8,897552942189966 -0,5983288313876257
8,914399736738634 -0,6172338729774218
8,93148671013038 -0,6354897414838914
8,948814363598062 -0,653039935063288
8,966380234087993 -0,6698245824393206
8,984178420003573 -0,6857810472058092
9,002199163741492 -0,7008448286479914
9,020428551471861 -0,7149507848707777
9,038848399678363 -0,7280346715500146
9,0574363973818 -0,7400349429885918
9,076166557735528 -0,7508947062226056
9,095010000051758 -0,7605636644393281
9,113936035209951 -0,7689998484336185
9,132913471845686 -0,7761709302360347
9,151912010944734 -0,7820549513745318
9,170903567109622 -0,7866403774622227
9,18986335643032 -0,7899254950234366
9,20877062556372 -0,7919172700634436
9,227608956354604 -0,7926298644658516
9,246366149926223 -0,7920830382043839
9,265033756639863 -0,7903006492303444
9,2836063605184 -0,7873094091903651
9,302080742875336 -0,7831379805242151
9,320455041951586 -0,7778164284962283
9,338728000677238 -0,7713759847505776
9,356898362419201 -0,7638490438557352
9,374964442693184 -0,7552693009198911
9,392923878413223 -0,7456719422579317
9,410773537453428 -0,7350938162035827
9,428509560034959 -0,7235735317726076
9,446127498469977 -0,711151454572768
9,463622521462769 -0,6978695891656406
9,480989651956506 -0,6837713533036165
9,498224012177701 -0,6689012613146004
9,515321055124362 -0,6533045412706553
9,532276767569893 -0,6370267138008117
9,549087835204418 -0,6201131601512003
9,565751765451212 -0,6026087042023303
9,582266967551988 -0,5845572285360362
9,598632792602602 -0,5660013391758616
9,614849538336243 -0,5469820880511652
9,630918424673371 -0,527538757123591
9,646841546524515 -0,5077087038314846
9,66262181021142 -0,48752726423173554
9,67826285933872 -0,467027707972528
9,693768995162657 -0,4462412379264522
